complaint_text,category,subcategory,department
I can't send money home as I don't have proper banking facilities here. I work at Volcano Cement in the insurance industry. I have been working as a supervisor for 5 years. This is happening in our Nashik branch/office/factory. I belong to a scheduled caste community.,Migrant Worker Issues,Return transportation denial,Chief Commissioner for Persons with Disabilities
"After filing a complaint, I was transferred to a remote location as punishment. I have been working as a team leader for 12 years. The toxicity has led to high employee turnover in our department.",Workplace Harassment,Exclusion from meetings,Ministry of Labour and Employment - Industrial Relations Division
We are forced to work for 14-16 hours daily without proper breaks. I work at Oceanic Marine Products in the aviation industry. I have been working as a warehouse manager for 12 years. This is happening in our Shillong branch/office/factory.,Unsafe Working Conditions,Extreme temperature conditions,Directorate General of Factory Advice Service and Labour Institutes
I'm an inter-state migrant worker without proper documentation provided by my employer. I work at Mountain Mining in the education industry. I have been working as a nurse for 10 years. This is happening in our Mumbai branch/office/factory. I am a person with physical disability. We were recruited through agents who made false promises.,Migrant Worker Issues,Return transportation denial,Ministry of Labour and Employment - Inter-State Migrant Workers Division
My ESIC hospital referred me to a private hospital but refused reimbursement. I work at Mountain Mining in the banking industry. This is happening in our Jalandhar branch/office/factory.,Social Security Concerns,Death benefit claims,Employees Provident Fund Organisation
I was fired without any notice or explanation after working for 7 years. I work at Delta Logistics in the construction industry. This is happening in our Ahmedabad branch/office/factory. I am the sole breadwinner in my family. The company exploits legal loopholes to deny statutory benefits.,Labor Rights Violations,Denial of maternity benefits,Ministry of Women and Child Development
I worked overtime for 45 hours but did not receive any additional payment. I have been working as a medical representative for 6 years. This is happening in our Mumbai branch/office/factory. I am a fresh graduate in my first job.,Wage Issues,Contract wages dispute,Ministry of Labour and Employment - Wage Division
My sick leave application was rejected despite having medical certificate. I work at Bluestar Chemicals in the hospitality industry. I have been working as a finance analyst for 1 years. This is happening in our Delhi branch/office/factory.,Labor Rights Violations,Denial of leave,Ministry of Labour and Employment - Industrial Relations Division
"Despite multiple applications, I haven't been able to withdraw my PF amount. I have been working as a sales executive for 2 years. This is happening in our Pune branch/office/factory.",Social Security Concerns,Pension payment delays,Local Police Station and Ministry of Labour
My superior takes credit for my work and ideas regularly. I am a senior citizen close to retirement. There have been previous complaints against the same individual/group.,Workplace Harassment,Exclusion from meetings,Ministry of Labour and Employment - Industrial Relations Division
We are forced to work in unnatural positions causing severe back problems. I work at Prairie Food Processing in the pharmaceutical industry. I have been working as a carpenter for 4.5 years. This is happening in our Ahmedabad branch/office/factory.,Unsafe Working Conditions,Excessive work hours,Ministry of Labour and Employment - Industrial Relations Division
I'm an inter-state migrant worker without proper documentation provided by my employer. I work at Bluestar Chemicals in the banking industry.,Migrant Worker Issues,Inadequate housing,Ministry of Housing and Urban Affairs
I'm an inter-state migrant worker without proper documentation provided by my employer. This is happening in our Ahmedabad branch/office/factory.,Migrant Worker Issues,Family separation issues,Ministry of Labour and Employment - Inter-State Migrant Workers Division
My employer has been delaying the variable pay component for 2 months. I have been working as a logistics coordinator for 5 years. This is happening in our Thiruvananthapuram branch/office/factory. I am a fresh graduate in my first job. Our wages have remained stagnant despite inflation and rising costs.,Wage Issues,Minimum Wages Act violations,Ministry of Labour and Employment - Wage Division
I'm constantly interrupted and talked over in meetings by male colleagues. I have been working as a floor manager for 10 years. There have been previous complaints against the same individual/group.,Workplace Harassment,Mental harassment,Ministry of Labour and Employment - Industrial Relations Division
"I receive lower wages than local workers for the same job. I work at Rainbow Plastics in the IT industry. I have been working as a factory worker for 3 years. This is happening in our Ludhiana branch/office/factory. During emergencies, we lack access to local support systems.",Migrant Worker Issues,Local authority harassment,Ministry of Labour and Employment - Wage Division
A senior colleague follows me to and from work making me uncomfortable. I have been working as a logistics coordinator for 1.5 years. This is happening in our Agra branch/office/factory.,Workplace Harassment,Unreasonable deadlines,Ministry of Labour and Employment - Industrial Relations Division
I'm an inter-state migrant worker without proper documentation provided by my employer. I work at XYZ Technologies in the education industry. I have been working as a graphic designer for 20 years. We face restrictions on movement and communication with family.,Migrant Worker Issues,Home state leave refusal,Ministry of Labour and Employment - Inter-State Migrant Workers Division
My salary calculation doesn't include the allowances mentioned in my offer letter. This is happening in our Jaipur branch/office/factory. I belong to a scheduled caste community.,Wage Issues,Unpaid leave deductions,Ministry of Labour and Employment - Wage Division
The noise levels in our factory exceed safe limits and no ear protection is provided. I work at CloudNine IT Solutions in the pharmaceutical industry. I am from a rural background trying to establish myself in an urban job market. Several workers have already suffered injuries due to these conditions.,Unsafe Working Conditions,No proper ventilation,Directorate General of Factory Advice Service and Labour Institutes
We are forced to work for 14-16 hours daily without proper breaks. I work at Datatech Services in the shipping industry. I have been working as a plumber for 6 years. Required safety certifications are outdated or falsified.,Unsafe Working Conditions,Noise pollution,State Pollution Control Board
A senior colleague follows me to and from work making me uncomfortable. I work at Greenfield Agro in the manufacturing industry. I have been working as a quality control inspector for 25 years. This is happening in our Chennai branch/office/factory. The toxicity has led to high employee turnover in our department.,Workplace Harassment,Mental harassment,Ministry of Labour and Employment - Industrial Relations Division
I was fired without any notice or explanation after working for 20 years. I work at Forest Wood Products in the banking industry. I have been working as a welder for 10 years. The company exploits legal loopholes to deny statutory benefits.,Labor Rights Violations,Denial of statutory holidays,Ministry of Labour and Employment - Industrial Relations Division
Employees from certain castes are given preferential treatment in our organization. I work at Mountain Mining in the textile industry. I have been working as a team leader for 10 years. This is happening in our Kolkata branch/office/factory.,Discrimination,LGBTQ+ discrimination,National Human Rights Commission
I haven't received the displacement allowance mentioned in the Inter-State Migrant Workmen Act. I have been working as a business analyst for 1.5 years. I am the sole breadwinner in my family. Essential information is not provided in languages we understand.,Migrant Worker Issues,Cultural insensitivity,Ministry of Labour and Employment - Inter-State Migrant Workers Division
The company doesn't allow employees to use their phones during shifts. I work at Datatech Services in the hospitality industry.,Labor Rights Violations,Forced overtime,Ministry of Labour and Employment - Industrial Relations Division
My employer has stopped contributing to NPS despite deducting from my salary. I work at Canyon Minerals in the agriculture industry. I belong to a scheduled caste community. The delay in benefits has affected my post-retirement planning.,Social Security Concerns,Retirement benefit disputes,Employees Provident Fund Organisation
Machine guards are removed to speed up production causing accidents. I work at RedBrick Consultancy in the IT industry. I have been working as a driver for 2 years. This is happening in our Lucknow branch/office/factory.,Unsafe Working Conditions,Machine safety concerns,Chief Commissioner for Persons with Disabilities
The company has provided incorrect details in my PF account making withdrawals impossible. I work at Prairie Food Processing in the manufacturing industry. I have been working as a welder for 2 years. The company is using outdated forms and processes for benefits.,Social Security Concerns,Unemployment allowance issues,Ministry of Labour and Employment - Social Security Division
No translator is provided during important safety briefings. I work at XYZ Technologies in the media industry. I have been working as a project coordinator for 8 years. This is happening in our Jammu branch/office/factory.,Migrant Worker Issues,Remittance challenges,Ministry of Finance
There is no access to clean drinking water in our factory premises. I work at Alpine Adventures in the real estate industry. This is happening in our Kochi branch/office/factory. I am working while pursuing higher education.,Unsafe Working Conditions,Lack of safety equipment,Directorate General of Factory Advice Service and Labour Institutes
"During summer, the temperature exceeds 45°C with no cooling systems. I work at IronStrength Steel in the shipping industry. This is happening in our Bhopal branch/office/factory.",Unsafe Working Conditions,Extreme temperature conditions,Directorate General of Factory Advice Service and Labour Institutes
The company has not paid the annual bonus as required by law. I work at Skyrise Builders in the healthcare industry. This is happening in our Jalandhar branch/office/factory. I have been working in this industry for over a decade.,Wage Issues,Illegal fine impositions,Ministry of Labour and Employment - Wage Division
"After a workplace accident, my compensation claim has been pending for months. I work at Westland Automobiles in the retail industry. I switched careers recently and face discrimination due to it. The company is using outdated forms and processes for benefits.",Social Security Concerns,Accident compensation issues,Employees State Insurance Corporation
I'm consistently assigned lower-level tasks than my peers from privileged backgrounds. I work at Lightning Fast Couriers in the telecommunications industry. This is happening in our Hyderabad branch/office/factory.,Discrimination,Regional bias,National Commission for Backward Classes
My religious practices are mocked openly in the workplace. I work at Goodlife Healthcare in the shipping industry. I have been working as a supervisor for 9 years. This is happening in our Chandigarh branch/office/factory. The harasser is protected due to their relationship with senior management.,Workplace Harassment,Physical intimidation,Local Police Station and Ministry of Labour
I'm charged excessive rent knowing I have limited housing options as a migrant. I work at Mountain Mining in the oil and gas industry. I have been working as a security guard for 8 years.,Migrant Worker Issues,Local authority harassment,Ministry of Home Affairs
The construction site lacks proper scaffolding and fall protection equipment. I work at Eastern Electronics in the telecommunications industry. This is happening in our Varanasi branch/office/factory.,Unsafe Working Conditions,Improper lighting,Directorate General of Factory Advice Service and Labour Institutes
Chemical spills are common and no cleanup protocols are followed. I work at Moonlight Entertainment in the pharmaceutical industry. I am a single parent supporting two children. I developed health issues directly related to workplace conditions.,Unsafe Working Conditions,Building structural issues,Municipal Corporation Building Department
There is no access to clean drinking water in our factory premises. I work at CloudNine IT Solutions in the pharmaceutical industry. I have been working as a procurement officer for 4 years. This is happening in our Lucknow branch/office/factory.,Unsafe Working Conditions,Excessive work hours,Ministry of Labour and Employment - Industrial Relations Division
My employer has stopped contributing to NPS despite deducting from my salary. I work at Prairie Food Processing in the telecommunications industry. This is happening in our Hyderabad branch/office/factory.,Social Security Concerns,Pension payment delays,Employees Provident Fund Organisation
"As an LGBTQ+ individual, I face daily harassment and isolation at work. There are documented differences in how different groups are evaluated.",Discrimination,Caste-based discrimination,National Commission for Scheduled Castes/Tribes
"There are no fire extinguishers or emergency exits in our workplace. I work at Delta Logistics in the agriculture industry. I have been working as a floor manager for 4 years. This is happening in our Nashik branch/office/factory. When inspections occur, the company temporarily improves conditions.",Unsafe Working Conditions,Extreme temperature conditions,Directorate General of Factory Advice Service and Labour Institutes
False rumors about my character are being spread in the workplace. I have been working as a machine operator for 5 years. This is happening in our Ranchi branch/office/factory. There have been previous complaints against the same individual/group.,Workplace Harassment,Character defamation,Local Police Station
I haven't been able to bring my family due to lack of family accommodation provisions. I work at Greenfield Agro in the IT industry. I have been working as a factory worker for 4 years. This is happening in our Pune branch/office/factory.,Migrant Worker Issues,Family separation issues,Ministry of Labour and Employment - Inter-State Migrant Workers Division
I was put on unpaid leave without my consent during market fluctuations. I have been working as a customer service representative for 20 years. The company changed payroll policies without proper notice.,Wage Issues,PF deduction issues,Employees Provident Fund Organisation
The housing provided to us migrant workers is overcrowded and lacks basic facilities. This is happening in our Nagpur branch/office/factory. I belong to a scheduled caste community.,Migrant Worker Issues,Medical care access,Ministry of Health and Family Welfare
I'm constantly interrupted and talked over in meetings by male colleagues. I work at XYZ Technologies in the agriculture industry. I have been working as a software developer for 10 years. I have education loans to repay which makes this situation critical.,Workplace Harassment,Cyberbullying at workplace,Cyber Crime Cell and Ministry of Labour
We have no access to healthcare as our home state medical cards aren't accepted here. This is happening in our Indore branch/office/factory. I am a woman working in a male-dominated field. We face hostility from local workers and community.,Migrant Worker Issues,Medical care access,Ministry of Health and Family Welfare
My supervisor makes inappropriate comments and touches female employees. I have been working as a procurement officer for 1.5 years. People from my background are consistently assigned menial tasks.,Discrimination,Political affiliation bias,Ministry of Labour and Employment - Industrial Relations Division
I worked overtime for 45 hours but did not receive any additional payment. The company is profitable yet refuses to pay fair wages.,Wage Issues,Equal pay for equal work violations,Ministry of Labour and Employment - Wage Division
"After retirement, I'm facing issues accessing my provident fund benefits. I work at Forest Wood Products in the logistics industry. This is happening in our Nashik branch/office/factory. I am supporting my elderly parents with my income.",Social Security Concerns,ESIC benefit denial,Employees State Insurance Corporation
Female employees are being paid less than male employees for the same work. I work at Rainbow Plastics in the oil and gas industry.,Wage Issues,Unpaid leave deductions,Ministry of Labour and Employment - Wage Division
My health insurance claim was rejected without proper explanation. I work at Coastal Shipping in the automotive industry. This is happening in our Coimbatore branch/office/factory. I have specialized skills in my field but face exploitation.,Social Security Concerns,Unemployment allowance issues,Ministry of Labour and Employment - Social Security Division
I haven't received the displacement allowance mentioned in the Inter-State Migrant Workmen Act. I work at Mountain Mining in the construction industry. I switched careers recently and face discrimination due to it. We face hostility from local workers and community.,Migrant Worker Issues,Displacement allowance issues,Employees Provident Fund Organisation
Machine guards are removed to speed up production causing accidents. I work at Rainbow Plastics in the healthcare industry. I have been working as a quality control inspector for 15 years. This is happening in our Ranchi branch/office/factory. Workers who report safety issues face retaliation.,Unsafe Working Conditions,No access to clean water,Municipal Corporation Water Department
I face discrimination because I support a different political party than management. I work at Global Solutions in the telecommunications industry. I have been working as a nurse for 25 years. I am a contractual worker hoping for permanent employment.,Discrimination,Marital status discrimination,Ministry of Labour and Employment - Industrial Relations Division
I haven't received the displacement allowance mentioned in the Inter-State Migrant Workmen Act. I have been working as a business analyst for 9 years. I am from a rural background trying to establish myself in an urban job market.,Migrant Worker Issues,Inadequate housing,Ministry of Housing and Urban Affairs
I've been working as a contractor for 5 years but haven't been regularized. I work at Skyrise Builders in the oil and gas industry. I have been working as a regional sales manager for 25 years. This is happening in our Nagpur branch/office/factory.,Labor Rights Violations,Collective bargaining issues,Ministry of Labour and Employment - Industrial Relations Division
"Despite working on national holidays, I haven't received double wages as per law. I work at Metro Textiles in the real estate industry. This is happening in our Chennai branch/office/factory.",Wage Issues,Commission payment delays,Ministry of Labour and Employment - Wage Division
The company doesn't allow employees to use their phones during shifts. I work at SilverLine Railways in the oil and gas industry. This is happening in our Jodhpur branch/office/factory. I am a contractual worker hoping for permanent employment.,Labor Rights Violations,Denial of maternity benefits,Ministry of Women and Child Development
The company doesn't grant national and festival holidays as per law. I work at Global Solutions in the agriculture industry. I have been working as a business analyst for 4 years. Job descriptions are intentionally vague to assign unlimited responsibilities.,Labor Rights Violations,Apprentice exploitation,Board of Apprenticeship Training
The job advertisement explicitly mentioned they prefer candidates from certain communities. I work at Alpine Adventures in the telecommunications industry. I have been working as a logistics coordinator for 4.5 years. This is happening in our Agra branch/office/factory.,Discrimination,Caste-based discrimination,National Commission for Scheduled Castes/Tribes
We work with cutting machines that lack safety guards or emergency stops. I work at Prairie Food Processing in the oil and gas industry. I have been working as a customer service representative for 1 years.,Unsafe Working Conditions,No emergency protocols,Directorate General of Factory Advice Service and Labour Institutes
My employer has been delaying the variable pay component for 6 weeks. I have been working as a call center agent for 4 years.,Wage Issues,Commission payment delays,Ministry of Labour and Employment - Wage Division
Electrical wiring is exposed and has caused several shock incidents. I work at SilverLine Railways in the entertainment industry. This is happening in our Jammu branch/office/factory.,Unsafe Working Conditions,Machine safety concerns,Directorate General of Factory Advice Service and Labour Institutes
I was criticized for not matching the company's 'look policy' despite my competence. The discrimination is subtle but persistent in daily interactions.,Discrimination,Regional bias,National Commission for Backward Classes
The paternity leave application was rejected without valid reasons. I work at Oceanic Marine Products in the shipping industry. I have been working as a data entry operator for 10 years. This is happening in our Indore branch/office/factory. I am a woman working in a male-dominated field.,Social Security Concerns,Maternity benefit delays,Ministry of Women and Child Development
"The noise levels in our factory exceed safe limits and no ear protection is provided. I have been working as a call center agent for 2.5 years. When inspections occur, the company temporarily improves conditions.",Unsafe Working Conditions,No access to clean water,Municipal Corporation Water Department
The company has provided incorrect details in my PF account making withdrawals impossible. I work at Coastal Shipping in the media industry. Different departments keep redirecting me without solutions.,Social Security Concerns,Death benefit claims,Employees Provident Fund Organisation
There is no access to clean drinking water in our factory premises. I have been working as a procurement officer for 15 years. This is happening in our Jammu branch/office/factory.,Unsafe Working Conditions,No emergency protocols,Directorate General of Factory Advice Service and Labour Institutes
The company has not paid the annual bonus as required by law. I work at Rainbow Plastics in the healthcare industry. I have been working as a graphic designer for 1.5 years. This is happening in our Dehradun branch/office/factory.,Wage Issues,Delayed salary payments,Ministry of Labour and Employment - Wage Division
"As an LGBTQ+ individual, I face daily harassment and isolation at work. I work at XYZ Technologies in the banking industry. I have been working as a delivery personnel for 1.5 years. This is happening in our Gwalior branch/office/factory.",Discrimination,Marital status discrimination,Ministry of Labour and Employment - Industrial Relations Division
"My home state work experience is not recognized for promotion considerations. I work at Greenfield Agro in the shipping industry. I have been working as a marketing specialist for 4.5 years. This is happening in our Pune branch/office/factory. During emergencies, we lack access to local support systems.",Migrant Worker Issues,Language barrier discrimination,Ministry of Labour and Employment - Industrial Relations Division
"After retirement, I'm facing issues accessing my provident fund benefits. I work at Global Solutions in the entertainment industry. I have been working as a finance analyst for 4 years.",Social Security Concerns,Pension payment delays,Employees Provident Fund Organisation
Toilet facilities are extremely dirty and unusable in our workplace. I work at Datatech Services in the textile industry. This is happening in our Vijayawada branch/office/factory. I belong to a scheduled caste community. Safety equipment exists but workers are discouraged from using it.,Unsafe Working Conditions,Hazardous materials exposure,Directorate General of Factory Advice Service and Labour Institutes
The company is deducting money for the days I took approved sick leave. I work at XYZ Technologies in the education industry. This is happening in our Guwahati branch/office/factory. My family is suffering due to irregular payment of wages.,Wage Issues,Delayed salary payments,Ministry of Labour and Employment - Wage Division
"Workers are not provided with safety helmets, gloves or boots in our factory. I work at Delta Logistics in the construction industry.",Unsafe Working Conditions,Noise pollution,State Pollution Control Board
There are no fire extinguishers or emergency exits in our workplace. I work at Sunrise Industries in the logistics industry. I have been working as a graphic designer for 10 years. This is happening in our Dharwad branch/office/factory. Required safety certifications are outdated or falsified.,Unsafe Working Conditions,Machine safety concerns,Directorate General of Factory Advice Service and Labour Institutes
The company refuses to negotiate wages and benefits collectively. I work at Pride Construction in the automotive industry. I have been working as a quality control inspector for 2 years. This is happening in our Coimbatore branch/office/factory. Documentation of work hours is manipulated to avoid overtime payment.,Labor Rights Violations,Forced resignation,Ministry of Labour and Employment - Industrial Relations Division
"False rumors about my character are being spread in the workplace. I work at Mountain Mining in the construction industry. This is happening in our Mangalore branch/office/factory. I've documented all incidents with dates, times and details.",Workplace Harassment,Unreasonable deadlines,Ministry of Labour and Employment - Industrial Relations Division
Electrical wiring is exposed and has caused several shock incidents. I work at Coastal Shipping in the agriculture industry. I have been working as a welder for 6 years. Workers who report safety issues face retaliation.,Unsafe Working Conditions,Excessive work hours,Ministry of Labour and Employment - Industrial Relations Division
Chemical spills are common and no cleanup protocols are followed. I work at Skyrise Builders in the automotive industry. I have been working as a regional sales manager for 5 years. This is happening in our Visakhapatnam branch/office/factory. I developed health issues directly related to workplace conditions.,Unsafe Working Conditions,Extreme temperature conditions,Directorate General of Factory Advice Service and Labour Institutes
My supervisor has threatened to ruin my career if I don't comply with demands. I have been working as a sales executive for 5 years.,Workplace Harassment,Excessive monitoring,Ministry of Labour and Employment - Industrial Relations Division
"My employer is paying below the minimum wage of 10,000 rupees in Sikkim. I work at Moonlight Entertainment in the real estate industry.",Wage Issues,Salary below industry standards,Ministry of Labour and Employment - Wage Division
I'm an apprentice but I'm performing regular employee duties without benefits. I work at Tropical Beverages in the aviation industry. This is happening in our Mangalore branch/office/factory.,Labor Rights Violations,No service benefits,Ministry of Labour and Employment - Industrial Relations Division
I was laid off but haven't received unemployment allowance as promised. I work at XYZ Technologies in the mining industry. This is happening in our Coimbatore branch/office/factory.,Social Security Concerns,Maternity benefit delays,Ministry of Women and Child Development
My disability accommodations were removed after the inspection team left. I work at CloudNine IT Solutions in the shipping industry. I have been working as a carpenter for 12 years. This is happening in our Guwahati branch/office/factory. The company policies on paper support equality but practice is different.,Discrimination,Promotion bias,Ministry of Labour and Employment - Industrial Relations Division
The company is deducting money for the days I took approved sick leave. I work at Savannah Agriculture in the oil and gas industry. This is happening in our Ludhiana branch/office/factory. The management recently gave themselves bonuses while delaying our payments.,Wage Issues,ESI contribution problems,Employees State Insurance Corporation
"Despite being eligible, I haven't received the statutory bonus for two years.",Social Security Concerns,Medical reimbursement delays,Employees State Insurance Corporation
I cannot access my UAN account despite multiple attempts.,Social Security Concerns,Pension payment delays,Employees Provident Fund Organisation
I was told I'm too old for the position despite having all qualifications. I work at ABC Manufacturing in the telecommunications industry. I have been working as a business analyst for 6 years. I am working while pursuing higher education. There's a significant pay gap between different groups doing identical work.,Discrimination,Marital status discrimination,Ministry of Labour and Employment - Industrial Relations Division
The company doesn't provide any written contract to employees. I have been working as a network administrator for 9 years. This is happening in our Itanagar branch/office/factory. There is no grievance redressal system available to workers.,Labor Rights Violations,Identity document confiscation,Ministry of Labour and Employment - Industrial Relations Division
Electrical wiring is exposed and has caused several shock incidents. I work at Bluestar Chemicals in the healthcare industry. I have been working as a maintenance technician for 3 years. I am a fresh graduate in my first job.,Unsafe Working Conditions,Machine safety concerns,Directorate General of Factory Advice Service and Labour Institutes
"My employer imposed a fine of 3,500 rupees for using personal email which seems excessive and illegal. I have been working as a floor manager for 25 years. This is happening in our Imphal branch/office/factory.",Wage Issues,Salary below industry standards,Ministry of Labour and Employment - Wage Division
My manager constantly criticizes me in front of others affecting my mental health. I work at Breeze Airlines in the IT industry. I have been working as a supervisor for 1 years. This is happening in our Coimbatore branch/office/factory. I am a single parent supporting two children.,Workplace Harassment,Verbal abuse,Ministry of Labour and Employment - Industrial Relations Division
Local authorities have issues verifying my identity as my documents are in my native language. I work at RedBrick Consultancy in the mining industry. I have been working as a call center agent for 6 years. This is happening in our Ludhiana branch/office/factory. Our identity documents are held by the contractor/employer.,Migrant Worker Issues,Inter-state migrant documentation,Ministry of Labour and Employment - Inter-State Migrant Workers Division
I'm employed as a trainee but receive no actual training.,Labor Rights Violations,Union formation prevention,Ministry of Labour and Employment - Industrial Relations Division
I'm deliberately excluded from important meetings relevant to my work. I have been working as a electrician for 8 years.,Workplace Harassment,Physical intimidation,Local Police Station and Ministry of Labour
"After 10 years of service, I was denied retirement benefits. I have been working as a finance analyst for 6 years. I am supporting my siblings' education with my income. Company policies contradict labor laws but are strictly enforced.",Labor Rights Violations,Collective bargaining issues,Ministry of Labour and Employment - Industrial Relations Division
My employer has confiscated my passport and educational certificates. I have been working as a welder for 4 years. This is happening in our Dharwad branch/office/factory. I have education loans to repay which makes this situation critical. My employment contract is different from actual working conditions.,Labor Rights Violations,Child labor,Ministry of Labour and Employment - Child Labor Division
Toilet facilities are extremely dirty and unusable in our workplace. I work at Eastern Electronics in the manufacturing industry. I have been working as a social media manager for 25 years.,Unsafe Working Conditions,No access to clean water,Municipal Corporation Water Department
The management encourages a toxic environment where employees are pitted against each other. I work at Pride Construction in the shipping industry. This is happening in our Jammu branch/office/factory.,Workplace Harassment,Character defamation,Local Police Station
I haven't been able to bring my family due to lack of family accommodation provisions. I am a senior citizen close to retirement.,Migrant Worker Issues,Inter-state migrant documentation,Ministry of Labour and Employment - Inter-State Migrant Workers Division
Employees from certain castes are given preferential treatment in our organization. I work at Sunshine Apparels in the real estate industry. I have been working as a finance analyst for 1 years. This is happening in our Chennai branch/office/factory. I switched careers recently and face discrimination due to it.,Discrimination,Regional bias,National Commission for Backward Classes
"Workers are not provided with safety helmets, gloves or boots in our factory. I have been working as a software developer for 5 years. This is happening in our Jodhpur branch/office/factory. Workers who report safety issues face retaliation.",Unsafe Working Conditions,Hazardous materials exposure,Directorate General of Factory Advice Service and Labour Institutes
I'm being paid significantly less than the industry standard for my position. I work at Moonlight Entertainment in the retail industry. I have been working as a software developer for 1 years. This is happening in our Dharwad branch/office/factory. I am supporting my elderly parents with my income.,Wage Issues,Commission payment delays,Ministry of Labour and Employment - Wage Division
I was terminated for raising safety concerns about factory conditions. I have been working as a data entry operator for 3 years. This is happening in our Kochi branch/office/factory.,Labor Rights Violations,Contract labor issues,Ministry of Labour and Employment - Industrial Relations Division
I was denied promotion because of my gender despite having better performance records. I work at Moonlight Entertainment in the manufacturing industry. I have been working as a factory worker for 3 years. This is happening in our Chandigarh branch/office/factory. I was directly told that people 'like me' don't get promoted here.,Discrimination,Marital status discrimination,Ministry of Labour and Employment - Industrial Relations Division
I'm being paid significantly less than the industry standard for my position. I work at Desert Oil Exploration in the construction industry. I have been working as a maintenance technician for 1.5 years. This is happening in our Guwahati branch/office/factory. I am supporting my siblings' education with my income.,Wage Issues,Illegal fine impositions,Ministry of Labour and Employment - Wage Division
I was transferred to a remote location after filing a complaint. I work at Westland Automobiles in the IT industry. We are made to sign blank documents that are later misused.,Labor Rights Violations,Identity document confiscation,Ministry of Labour and Employment - Industrial Relations Division
I can't send money home as I don't have proper banking facilities here. We are charged excessive fees for transportation to work sites.,Migrant Worker Issues,Family separation issues,Ministry of Labour and Employment - Inter-State Migrant Workers Division
There is no access to clean drinking water in our factory premises. I work at Sunshine Apparels in the oil and gas industry. I have been working as a production manager for 10 years. This is happening in our Agra branch/office/factory.,Unsafe Working Conditions,Chemical spills,Directorate General of Factory Advice Service and Labour Institutes
"As a person with disability, the company has not provided reasonable accommodations. I work at Sunrise Industries in the agriculture industry.",Discrimination,Disability discrimination,Chief Commissioner for Persons with Disabilities
The company has not revised my salary for 8 years despite annual evaluations. I work at IronStrength Steel in the automotive industry. I have been working as a warehouse manager for 5 years. This is happening in our Ahmedabad branch/office/factory. My family is suffering due to irregular payment of wages.,Wage Issues,ESI contribution problems,Ministry of Labour and Employment - Industrial Relations Division
Machine guards are removed to speed up production causing accidents. I work at Desert Oil Exploration in the insurance industry. Safety equipment exists but workers are discouraged from using it.,Unsafe Working Conditions,Chemical spills,Directorate General of Factory Advice Service and Labour Institutes
I was asked inappropriate questions about my family planning during the interview. I work at RedBrick Consultancy in the insurance industry. This is happening in our Kochi branch/office/factory.,Discrimination,Pregnancy discrimination,National Commission for Women
"Workers are not provided with safety helmets, gloves or boots in our factory. I work at Mountain Mining in the oil and gas industry.",Unsafe Working Conditions,Excessive work hours,Ministry of Labour and Employment - Industrial Relations Division
I was denied promotion because of my gender despite having better performance records. I have been working as a sales executive for 1 years.,Discrimination,Religious discrimination,National Commission for Minorities
My boss threatened to fire me if I didn't submit a resignation letter. I work at Bluestar Chemicals in the education industry. I have been working as a factory worker for 2.5 years.,Labor Rights Violations,Denial of statutory holidays,Ministry of Labour and Employment - Industrial Relations Division
I cannot access my UAN account despite multiple attempts. I have been working as a project coordinator for 20 years. I am supporting my siblings' education with my income.,Social Security Concerns,Gratuity calculation disputes,Ministry of Labour and Employment - Industrial Relations Division
I have not received my salary for the last quarter. My employer keeps delaying payments. I work at Moonlight Entertainment in the oil and gas industry. I have been working as a security guard for 3 years.,Wage Issues,Unpaid leave deductions,Ministry of Labour and Employment - Wage Division
Electrical wiring is exposed and has caused several shock incidents. I have been working as a warehouse manager for 3 years. This is happening in our Ranchi branch/office/factory. Management ignores safety concerns to maintain production schedules.,Unsafe Working Conditions,Extreme temperature conditions,Directorate General of Factory Advice Service and Labour Institutes
The lighting is so poor that it's causing eye strain and accidents. I work at Moonlight Entertainment in the insurance industry. I developed health issues directly related to workplace conditions.,Unsafe Working Conditions,Chemical spills,Directorate General of Factory Advice Service and Labour Institutes
My contractor brought me here but now refuses to take responsibility for my employment. I work at Forest Wood Products in the hospitality industry. I have been working as a nurse for 2.5 years. I belong to a scheduled caste community.,Migrant Worker Issues,Inter-state migrant documentation,Ministry of Labour and Employment - Inter-State Migrant Workers Division
Chemical spills are common and no cleanup protocols are followed. I work at Coastal Shipping in the shipping industry. I have been working as a nurse for 15 years. This is happening in our Patna branch/office/factory. I am supporting my siblings' education with my income.,Unsafe Working Conditions,Radiation exposure,Atomic Energy Regulatory Board
My employer has been delaying the variable pay component for 100 days. I have been working as a medical representative for 3 years. This is happening in our Bhopal branch/office/factory. I am a fresh graduate in my first job.,Wage Issues,Delayed salary payments,Ministry of Labour and Employment - Wage Division
"Local authorities have issues verifying my identity as my documents are in my native language. I work at Starway Hotels in the manufacturing industry. This is happening in our Ludhiana branch/office/factory. During emergencies, we lack access to local support systems.",Migrant Worker Issues,Family separation issues,Ministry of Labour and Employment - Inter-State Migrant Workers Division
I was laid off but haven't received unemployment allowance as promised. I have been working as a social media manager for 12 years. The company is using outdated forms and processes for benefits.,Social Security Concerns,PF withdrawal issues,Employees Provident Fund Organisation
